Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",EVMagz - Electric Vehicles Magazine,https://x.com/evmagz,evmagz,False,2023-01-01 19:59:58+00:00,False,Affordable EVs Compared: Kia Niro EV Vs Chevrolet Bolt - https://t.co/07Wv2hY1XK https://t.co/1NFX3rsdoz,1609640597111074817,0,0,5,258,0,https://pbs.twimg.com/media/FlaXls5aMAAVxRf.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 20:27:09+00:00,False,Norwegians Replaced A Fifth Of Their Cars With All-Electric Ones https://t.co/ZtGSoYtjDQ https://t.co/EIYL7LPK14,1609647438406782977,0,1,2,369,0,https://pbs.twimg.com/media/Fladz-BaUAIGYik.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Rick,https://x.com/SmartDriveTest,SmartDriveTest,False,2023-01-01 17:56:12+00:00,False,"Electric Vehicles Won't Last
The business of electric cars (EVs) is NOT cars; it's batteries. Battery technology is is just one limiting factor of moving these vehicles into the future. Get all the details - click link.
https://t.co/w3NM1XQd0E

#smartdrivetest #ElectricVehicles https://t.co/zzXakRgsaF",1609609451186839552,0,0,0,19,0,https://pbs.twimg.com/media/FlZ7FbJacAIhrgT.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Michael Thomas,https://x.com/curious_founder,curious_founder,False,2023-01-01 22:45:59+00:00,False,Prediction #5: Norwegians will continue buying more electric vehicles than the rest of us. https://t.co/AA8OJCK2wo,1609682375654637568,45,93,283,48131,19,https://pbs.twimg.com/media/Fla9guSacAED0Qj.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",MN FieldTripLibrary,https://x.com/MNFieldTrips,MNFieldTrips,False,2023-01-01 19:00:55+00:00,False,"MICRO-MOBILITY DEVICES TO TEST RIDE AT THE E-BIKE CHALLENGE

As consumers gain an ecological awareness of greener transportation, alternatives to electric vehicles (EVs) are becoming more attractive. @HaveFunBiking 

https://t.co/riHnsvchuW https://t.co/2GULLDizoS",1609625737895583746,0,0,0,18,0,https://pbs.twimg.com/media/FlaKFEnXkAImtsK.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 23:27:11+00:00,False,Deliveries Of Entry-Level Lucid Air Pure Are Now Underway https://t.co/LyOk7Jnwok https://t.co/ojIPMOedlz,1609692742912970752,0,2,15,1088,0,https://pbs.twimg.com/media/FlbHBD5acAAJwY6.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Science Is Strategic,https://x.com/scienceisstrat1,scienceisstrat1,True,2023-01-01 23:37:58+00:00,False,"But China is getting in the game. Big time. 

Car manufacturers in China exported $3.2 billion worth of electric vehicles in November, up 165% from a year ago. https://t.co/gK1wY71Xui",1609695456455544832,2,17,128,11814,2,https://pbs.twimg.com/media/FlbJe_LWAAA-b9W.jpg,True,scienceisstrat1,https://x.com/scienceisstrat1,,scienceisstrat1,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Alex,https://x.com/alex_avoigt,alex_avoigt,True,2023-01-01 23:01:04+00:00,False,"Surprise, surprise ... ""Hertz discovered that electric vehicles are between 50-60% cheaper to maintain than gasoline-powered cars""
https://t.co/3dpgyFXtv0",1609686169675042819,399,674,4512,576820,86,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Oldtimer ClassicCars,https://x.com/spicker123,spicker123,False,2023-01-01 12:39:59+00:00,False,"1914 Detroit Electric Model 46 Cape Top Roadster
The Detroit Electric Company of Detroit, Michigan was an automobile producer of electric vehicles. The Anderson Carriage Company had been established in... 
Read more - more pictures: https://t.co/qh7BIiArAB https://t.co/a3U37XflDA",1609529872543621124,1,6,23,675,0,https://pbs.twimg.com/media/FlYy4eCWQAAdrX_.jpg;https://pbs.twimg.com/media/FlYy4e-XgAMfLTo.jpg;https://pbs.twimg.com/media/FlYy4feXgAAjtxv.jpg;https://pbs.twimg.com/media/FlYy4gNXwAAqLwb.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",C+Charge,https://x.com/C_Charge_Token,C_Charge_Token,False,2023-01-01 12:00:25+00:00,False,"What is the best solution for reducing transportation emissions?🧐

🚙Improving public transport 
🚙Electric vehicles
🚙Introducing electric public transportation

Join the presale and learn more about carbon emissions 👇🏼
https://t.co/ixe18bPqzI https://t.co/T8eK1ccnhM",1609519912266907648,6,1,8,1375,0,https://pbs.twimg.com/media/FlYp09kX0AEJ2Ya.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",All EV Canada,https://x.com/AllEVCanada,AllEVCanada,False,2023-01-01 14:15:01+00:00,False,"🎉 Happy New Year from all of us at All EV Canada. We hope your 2023 is electric!⚡

The All EV Store. Electric vehicles, advice and expertise. Call us first.©

https://t.co/wHJtDGY5GW

#electricvehicles #electriccars #electric #happynewyear #allevcanada #evexperts https://t.co/KZZXgpD3JV",1609553786695045121,0,0,0,76,0,https://pbs.twimg.com/media/FlZIo6KWAAIVb8E.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 16:27:11+00:00,False,Will Electric Vehicles Crash The Grid? https://t.co/lJJLGOYjm7 https://t.co/ODj7yXOGfs,1609587049035878401,0,0,1,310,0,https://pbs.twimg.com/media/FlZm48aaEAAaSAK.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",InsideEVs,https://x.com/InsideEVs,InsideEVs,True,2023-01-01 15:36:15+00:00,False,Will Electric Vehicles Crash The Grid? https://t.co/EROiELW7dj via @insideevs.com,1609574231485911040,11,13,34,8835,2,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",ChaCha 𝕏,https://x.com/chacha72kobe4er,chacha72kobe4er,True,2023-01-01 23:33:31+00:00,False,$MULN #MULN EV is 50-60% less to maintain per @Hertz @mullen_usa @bollingermotors EV for all! #MullenAutomotive https://t.co/FJZJxQC3b2,1609694339437068289,1,10,74,7206,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Bill Bruno 🇺🇦,https://x.com/Bailyn_DeTocque,Bailyn_DeTocque,False,2023-01-01 23:26:29+00:00,False,"We are not going to electric-car our way out of global warming.  Reshaping cities with ""[p]olicies that build compact cities focused on walking, bicycling, and public transit instead of cars"" is an essential tandem to electric vehicles.
https://t.co/wKjZ7RYT3A",1609692569402834944,0,0,1,85,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 15:27:13+00:00,False,Rivian R1T Owner Shares Efficiency Vs Temperature Data https://t.co/cxsy9xH6ZM https://t.co/4TfLmOGoc9,1609571958429188097,0,0,0,346,0,https://pbs.twimg.com/media/FlZZKOeacAECADP.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 23:27:18+00:00,False,"Tesla Model 3 Heater Race: Heat Pump Compared To Older Tech, -20F https://t.co/gpodkErF52 https://t.co/g972zq1Vok",1609692773745307649,0,0,1,387,0,https://pbs.twimg.com/media/FlbHC0jaYAAag3u.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 23:27:14+00:00,False,Tesla Model S Plaid: Owner Confesses Love And Hate After 30K Miles https://t.co/PhdjeltfDq https://t.co/d72EYHSRfe,1609692756892581888,0,0,2,542,0,https://pbs.twimg.com/media/FlbHB7CaMAAHnxd.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",,https://x.com/auto,,,,False,,,,0,0,0,0,,False,,,,,
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",g,https://x.com/GavinMa28072285,GavinMa28072285,False,2023-01-01 19:23:42+00:00,False,https://t.co/qJFZLpkx3u And people still put there trust in electric vehicles. Stick to what's best and trust worthy. Just keep it in mind when these electric vehicles do go up or your battery explodes first either way if your inside you are soaked in acid.,1609631467495120898,0,0,0,45,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",National Review,https://x.com/NRO,NRO,True,2023-01-01 22:01:50+00:00,False,"The Week of December 26, 2022: EVs and their problems, inflation, regulation, and much, much more. | @AStuttaford 
 https://t.co/FLW8bqy3TU",1609671264884477954,2,1,7,8448,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Nicholas Kristof,https://x.com/NickKristof,NickKristof,True,2023-01-01 23:55:47+00:00,False,Interesting thread on the explosion in sales of electric vehicles worldwide.,1609699942788132864,10,21,44,50429,2,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query","Trux, the American",https://x.com/TBP_3,TBP_3,True,2023-01-01 18:41:17+00:00,False,"#Dominos is advertising they now have a fleet of electric vehicles for deliveries.

Other than ""Yay, coal instead of petroleum"" why should I give a darn?",1609620793054629888,0,0,0,25,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Malcom Chakery,https://x.com/itschakery,itschakery,False,2023-01-01 20:44:19+00:00,False,@elonmusk @catturd2 Elon about shadow ban @catturd2 talking about electric vehicles.,1609651757059313664,6,3,99,10596,0,,True,elonmusk,https://x.com/elonmusk,Elon Musk,elonmusk,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",.,https://x.com/2becalm,2becalm,False,2023-01-01 23:18:39+00:00,False,Electric vehicles are complicating car safety testing https://t.co/tsFgN7CO0W,1609690595458424833,0,1,0,2,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Truth 777,https://x.com/clayton7g7g,clayton7g7g,False,2023-01-01 17:24:34+00:00,False,"The World Economic Forum (WEF) is pushing for “battery passports” to be fitted to electric vehicles (EVs) to track the driver’s impact on “climate change.
https://t.co/u5Q8rdVkCN",1609601490716594176,0,0,2,33,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Roger Lee,https://x.com/rogerdlee,rogerdlee,False,2023-01-01 23:35:24+00:00,False,Is Canada ready for electric vehicles? https://t.co/fuWSSfHbeC via @YouTube #canada #canadanews,1609694811480784896,0,0,0,10,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",InsideEVs,https://x.com/InsideEVs,InsideEVs,True,2023-01-01 18:04:47+00:00,False,Start your new year right with a great look at all the EVs coming in 2023. https://t.co/vz5HVSXYRE,1609611607641817090,2,5,19,5476,1,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",NEWSMAX,https://x.com/NEWSMAX,NEWSMAX,True,2023-01-01 23:30:00+00:00,False,"The Great Lakes has been the epicenter of the auto industry, but investment into electric vehicle plants has homed in on the southern states of Tennessee, Kentucky, and Georgia. https://t.co/ZpOiiZF2v5",1609693454585716742,32,21,94,55922,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Inside Electric Vehicles (inside.com/evs),https://x.com/auto,auto,False,2023-01-01 14:42:21+00:00,False,Heybike unveils 750W folding e-bike made from a single piece of magnesium alloy https://t.co/3ADa83eezE https://t.co/avzpU3Y2I9,1609560663755751424,0,0,0,306,0,https://pbs.twimg.com/media/FlZO5DXacAAgcsj.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Ecargyan,https://x.com/ecargyan,ecargyan,False,2023-01-01 13:55:21+00:00,False,Firm to make electric vehicles charging stations in Alabama – Alabama Today https://t.co/B2FiziisMD https://t.co/QVENfROWmU,1609548837672067074,0,0,0,3,0,https://pbs.twimg.com/media/FlZEI4uWIAIR_Bb.png,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Ava Community Energy (Ava),https://x.com/PoweredwithAva,PoweredwithAva,False,2023-01-01 19:30:21+00:00,False,"Happy New Year! We're wishing everyone a year of plentiful renewable energy, solar panels, and electric vehicles. We are so excited for 2023 and can't wait to share all of our new programs and initiatives.

Please note: EBCE's call center is closed tomorrow, 1/2. https://t.co/94KQoNEBG1",1609633141773291522,0,0,0,141,0,https://pbs.twimg.com/media/FlaQ0BOWQAIKMIW.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Ecargyan,https://x.com/ecargyan,ecargyan,False,2023-01-01 09:55:40+00:00,False,"As arctic air covers US, electric vehicles could struggle to perform in cold weather – NBC 15 WPMI https://t.co/9Ht5wlabFa https://t.co/pztd70jktY",1609488517486333952,0,0,0,12,0,https://pbs.twimg.com/media/FlYNRyOXEAELH8k.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",🇺🇸Shawn Wood🇺🇸,https://x.com/ShawnWo78307528,ShawnWo78307528,False,2023-01-01 23:19:14+00:00,False,"Here's The Reason Why Tesla Tires Are So Much More Expensive

It’s the weight of an EV that makes all EV tires expensive.  Tesla just happens to be #1 in the world.  Tesla makes roughly 65% of all electric vehicles. https://t.co/TcP0NESndg",1609690744838848513,0,0,0,20,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",CSP- Uwe Roland Gross,https://x.com/CSPGross,CSPGross,False,2023-01-01 19:49:31+00:00,False,The Mirage of Electric Vehicles https://t.co/5IQpXocZCs,1609637965008871428,0,1,0,20,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Flyin18T Motorsports,https://x.com/Flyin18T,Flyin18T,True,2023-01-01 15:37:34+00:00,False,Will Electric Vehicles Crash The Grid? https://t.co/d586nvdHgw https://t.co/FBx06h4m10,1609574560340541441,0,1,1,201,0,https://pbs.twimg.com/media/FlZbiDBaUAAZaUZ.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",CSP- Uwe Roland Gross,https://x.com/CSPGross,CSPGross,False,2023-01-01 19:49:46+00:00,False,The Futility of Electric Vehicles https://t.co/gKiUt7Vvoc,1609638030859460613,0,0,0,10,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Bloomberg Opinion,https://x.com/opinion,opinion,True,2023-01-01 22:31:02+00:00,False,America's attempt to build electric vehicles and batteries has fallen flat https://t.co/AtTB3LQRyj,1609678614437548034,6,3,13,8355,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Just Dogging it,https://x.com/clemmons1948,clemmons1948,False,2023-01-01 23:48:20+00:00,False,"Just asking(seriously), where do you think the US would be in the development of electric vehicles without @elonmusk ?",1609698065304240128,0,0,0,15,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Peter McCaffrey,https://x.com/peteremcc,peteremcc,True,2023-01-01 22:59:43+00:00,False,"Government didn't ban horses and carriages.

When cars got better, the free market facilitated the transition.

The same will happen with electric vehicles.

Why are the left so desperate to force us to pay more for worse products now?

People will switch naturally in the future.",1609685829915385859,27,17,53,9536,1,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",CSP- Uwe Roland Gross,https://x.com/CSPGross,CSPGross,False,2023-01-01 19:55:12+00:00,False,Hidden cost inside all electric vehicles revealed https://t.co/4P8rndoqxu,1609639395056910343,0,0,0,8,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Lonny Smith,https://x.com/lonnysaz,lonnysaz,False,2023-01-01 09:25:36+00:00,False,"Maybe all electric vehicles shouldn't be the future?
https://t.co/OQQoPOScIl",1609480952321048576,0,0,0,15,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",The Blue Roof,https://x.com/BluRoofPolitics,BluRoofPolitics,True,2023-01-01 12:08:14+00:00,False,“A Back-of-the-Head Strike”: US Protectionism of Electric Vehicles Draws Ire https://t.co/LhuN2aDEvh #TBRbot,1609521882046369793,0,0,0,423,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Mr T,https://x.com/MrT00813057,MrT00813057,False,2023-01-01 02:17:49+00:00,False,This is why elon musk is not our friend . His electric vehicles will destroy us . He is following the governments plans,1609373295610322945,0,0,2,143,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",ToryNow,https://x.com/torynowdotcom,torynowdotcom,False,2023-01-01 18:02:07+00:00,False,"Is Canada ready for electric vehicles? #cdnpoli
https://t.co/l4mytgH9ev",1609610939648872448,0,0,0,11,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",ValInv,https://x.com/ValInv1,ValInv1,True,2023-01-01 16:37:17+00:00,False,"Tax credit confusion could create a rush for electric vehicles in early 2023 see Fisker $FSR 32% of Float Shorted Impossible as Ryan Cohen, CEO/COB of Game Stop $GME and Congress Roaring Kitty https://t.co/ejr5SBzepS via @KSLcom",1609589589722669057,0,0,0,216,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Boston Herald,https://x.com/bostonherald,bostonherald,False,2023-01-01 22:18:09+00:00,False,The Massachusetts Department of Transportation is assembling a “high performance unit” that will kickstart the state’s efforts to design and install additional charging stations for electric vehicles. https://t.co/bQRsDWr3Hy,1609675372013944834,7,0,0,3041,1,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Ugly Truth,https://x.com/UGLYTRUTH000,UGLYTRUTH000,False,2023-01-01 16:46:05+00:00,False,The cost of Electric vehicles combined with the lack of charging points etc is simply a scheme to make owning a car / driving unachievable for the average working person.,1609591805473075202,2,0,5,188,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Charlie Light,https://x.com/CharlieLight14,CharlieLight14,False,2023-01-01 23:40:07+00:00,False,"- No Internet Censorship Bill C11 
- No Gun Grab Bill C21 
- No increase in Taxes including Tripling the Carbon Tax 
- No more Mandates including Electric Vehicles and Lockdowns 
- Hire back the Unvacinated including Doctors and Nurses 
Stop punishing innocent and Canadians!",1609695998519148545,0,0,1,109,0,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-03 since:2023-01-02&src=typed_query",Arsalan Hassan Khan,https://x.com/ArsalanH_Khan,ArsalanH_Khan,False,2023-01-02 15:53:42+00:00,False,"Government Plans To Produce 175,000 Electric Bikes In Pakistan.
To reduce the usage of expensive fuel and protect the country environment,the Ministry of Industries and Production is planning to focus more on electric vehicles, especially electric bikesin Pakistan.+++++ https://t.co/yAu33M6IRE",1609941010431512576,9,5,26,11555,1,https://pbs.twimg.com/media/Fleo0LnWQAAd-to.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-03 since:2023-01-02&src=typed_query",Dr. Shelly Oberoi,https://x.com/OberoiShelly,OberoiShelly,True,2023-01-02 11:37:32+00:00,False,"Congratulations to Delhi.

CM @ArvindKejriwal inducts 50 New Electric Buses in DTC's fleet today. Electric vehicles are the future of transport in Delhi.

Big leap towards #CleanDelhi https://t.co/Hl1qxmWQCj",1609876541168848896,19,91,424,10729,0,https://pbs.twimg.com/media/FlduLIuX0AAzuVw.jpg,False,,,,,en
