,UTC_Time,Date,Tweet_Content,Manual_Training_Labels,Manual_Testing_Labels
10,2023-01-01 19:59:58+00:00,2023-01-01,Affordable EVs Compared: Kia Niro EV Vs Chevrolet Bolt - https://t.co/07Wv2hY1XK https://t.co/1NFX3rsdoz,nan,nan
11,2023-01-01 20:27:09+00:00,2023-01-01,Norwegians Replaced A Fifth Of Their Cars With All-Electric Ones https://t.co/ZtGSoYtjDQ https://t.co/EIYL7LPK14,nan,nan
12,2023-01-01 17:56:12+00:00,2023-01-01,"Electric Vehicles Won't Last
The business of electric cars (EVs) is NOT cars; it's batteries. Battery technology is is just one limiting factor of moving these vehicles into the future. Get all the details - click link.
https://t.co/w3NM1XQd0E

#smartdrivetest #ElectricVehicles https://t.co/zzXakRgsaF",nan,nan
13,2023-01-01 22:45:59+00:00,2023-01-01,Prediction #5: Norwegians will continue buying more electric vehicles than the rest of us. https://t.co/AA8OJCK2wo,nan,nan
14,2023-01-01 19:00:55+00:00,2023-01-01,"MICRO-MOBILITY DEVICES TO TEST RIDE AT THE E-BIKE CHALLENGE

As consumers gain an ecological awareness of greener transportation, alternatives to electric vehicles (EVs) are becoming more attractive. @HaveFunBiking 

https://t.co/riHnsvchuW https://t.co/2GULLDizoS",nan,nan
15,2023-01-01 23:27:11+00:00,2023-01-01,Deliveries Of Entry-Level Lucid Air Pure Are Now Underway https://t.co/LyOk7Jnwok https://t.co/ojIPMOedlz,nan,nan
16,2023-01-01 23:37:58+00:00,2023-01-01,"But China is getting in the game. Big time. 

Car manufacturers in China exported $3.2 billion worth of electric vehicles in November, up 165% from a year ago. https://t.co/gK1wY71Xui",nan,nan
17,2023-01-01 23:01:04+00:00,2023-01-01,"Surprise, surprise ... ""Hertz discovered that electric vehicles are between 50-60% cheaper to maintain than gasoline-powered cars""
https://t.co/3dpgyFXtv0",nan,nan
18,2023-01-01 12:39:59+00:00,2023-01-01,"1914 Detroit Electric Model 46 Cape Top Roadster
The Detroit Electric Company of Detroit, Michigan was an automobile producer of electric vehicles. The Anderson Carriage Company had been established in... 
Read more - more pictures: https://t.co/qh7BIiArAB https://t.co/a3U37XflDA",nan,nan
19,2023-01-01 12:00:25+00:00,2023-01-01,"What is the best solution for reducing transportation emissions?🧐

🚙Improving public transport 
🚙Electric vehicles
🚙Introducing electric public transportation

Join the presale and learn more about carbon emissions 👇🏼
https://t.co/ixe18bPqzI https://t.co/T8eK1ccnhM",nan,nan
20,2023-01-01 14:15:01+00:00,2023-01-01,"🎉 Happy New Year from all of us at All EV Canada. We hope your 2023 is electric!⚡

The All EV Store. Electric vehicles, advice and expertise. Call us first.©

https://t.co/wHJtDGY5GW

#electricvehicles #electriccars #electric #happynewyear #allevcanada #evexperts https://t.co/KZZXgpD3JV",nan,nan
21,2023-01-01 16:27:11+00:00,2023-01-01,Will Electric Vehicles Crash The Grid? https://t.co/lJJLGOYjm7 https://t.co/ODj7yXOGfs,nan,nan
22,2023-01-01 15:36:15+00:00,2023-01-01,Will Electric Vehicles Crash The Grid? https://t.co/EROiELW7dj via @insideevs.com,nan,nan
23,2023-01-01 23:33:31+00:00,2023-01-01,$MULN #MULN EV is 50-60% less to maintain per @Hertz @mullen_usa @bollingermotors EV for all! #MullenAutomotive https://t.co/FJZJxQC3b2,nan,nan
24,2023-01-01 23:26:29+00:00,2023-01-01,"We are not going to electric-car our way out of global warming.  Reshaping cities with ""[p]olicies that build compact cities focused on walking, bicycling, and public transit instead of cars"" is an essential tandem to electric vehicles.
https://t.co/wKjZ7RYT3A",nan,nan
25,2023-01-01 15:27:13+00:00,2023-01-01,Rivian R1T Owner Shares Efficiency Vs Temperature Data https://t.co/cxsy9xH6ZM https://t.co/4TfLmOGoc9,nan,nan
26,2023-01-01 23:27:18+00:00,2023-01-01,"Tesla Model 3 Heater Race: Heat Pump Compared To Older Tech, -20F https://t.co/gpodkErF52 https://t.co/g972zq1Vok",nan,nan
27,2023-01-01 23:27:14+00:00,2023-01-01,Tesla Model S Plaid: Owner Confesses Love And Hate After 30K Miles https://t.co/PhdjeltfDq https://t.co/d72EYHSRfe,nan,nan
28,,,,nan,nan
29,2023-01-01 19:23:42+00:00,2023-01-01,https://t.co/qJFZLpkx3u And people still put there trust in electric vehicles. Stick to what's best and trust worthy. Just keep it in mind when these electric vehicles do go up or your battery explodes first either way if your inside you are soaked in acid.,nan,nan
30,2023-01-01 22:01:50+00:00,2023-01-01,"The Week of December 26, 2022: EVs and their problems, inflation, regulation, and much, much more. | @AStuttaford 
 https://t.co/FLW8bqy3TU",nan,nan
31,2023-01-01 23:55:47+00:00,2023-01-01,Interesting thread on the explosion in sales of electric vehicles worldwide.,nan,nan
32,2023-01-01 18:41:17+00:00,2023-01-01,"#Dominos is advertising they now have a fleet of electric vehicles for deliveries.

Other than ""Yay, coal instead of petroleum"" why should I give a darn?",nan,nan
33,2023-01-01 20:44:19+00:00,2023-01-01,@elonmusk @catturd2 Elon about shadow ban @catturd2 talking about electric vehicles.,nan,nan
34,2023-01-01 23:18:39+00:00,2023-01-01,Electric vehicles are complicating car safety testing https://t.co/tsFgN7CO0W,nan,nan
35,2023-01-01 17:24:34+00:00,2023-01-01,"The World Economic Forum (WEF) is pushing for “battery passports” to be fitted to electric vehicles (EVs) to track the driver’s impact on “climate change.
https://t.co/u5Q8rdVkCN",nan,nan
36,2023-01-01 23:35:24+00:00,2023-01-01,Is Canada ready for electric vehicles? https://t.co/fuWSSfHbeC via @YouTube #canada #canadanews,nan,nan
37,2023-01-01 18:04:47+00:00,2023-01-01,Start your new year right with a great look at all the EVs coming in 2023. https://t.co/vz5HVSXYRE,nan,nan
38,2023-01-01 23:30:00+00:00,2023-01-01,"The Great Lakes has been the epicenter of the auto industry, but investment into electric vehicle plants has homed in on the southern states of Tennessee, Kentucky, and Georgia. https://t.co/ZpOiiZF2v5",nan,nan
39,2023-01-01 14:42:21+00:00,2023-01-01,Heybike unveils 750W folding e-bike made from a single piece of magnesium alloy https://t.co/3ADa83eezE https://t.co/avzpU3Y2I9,nan,nan
40,2023-01-01 13:55:21+00:00,2023-01-01,Firm to make electric vehicles charging stations in Alabama – Alabama Today https://t.co/B2FiziisMD https://t.co/QVENfROWmU,nan,nan
41,2023-01-01 19:30:21+00:00,2023-01-01,"Happy New Year! We're wishing everyone a year of plentiful renewable energy, solar panels, and electric vehicles. We are so excited for 2023 and can't wait to share all of our new programs and initiatives.

Please note: EBCE's call center is closed tomorrow, 1/2. https://t.co/94KQoNEBG1",nan,nan
42,2023-01-01 09:55:40+00:00,2023-01-01,"As arctic air covers US, electric vehicles could struggle to perform in cold weather – NBC 15 WPMI https://t.co/9Ht5wlabFa https://t.co/pztd70jktY",nan,nan
43,2023-01-01 23:19:14+00:00,2023-01-01,"Here's The Reason Why Tesla Tires Are So Much More Expensive

It’s the weight of an EV that makes all EV tires expensive.  Tesla just happens to be #1 in the world.  Tesla makes roughly 65% of all electric vehicles. https://t.co/TcP0NESndg",nan,nan
44,2023-01-01 19:49:31+00:00,2023-01-01,The Mirage of Electric Vehicles https://t.co/5IQpXocZCs,nan,nan
45,2023-01-01 15:37:34+00:00,2023-01-01,Will Electric Vehicles Crash The Grid? https://t.co/d586nvdHgw https://t.co/FBx06h4m10,nan,nan
46,2023-01-01 19:49:46+00:00,2023-01-01,The Futility of Electric Vehicles https://t.co/gKiUt7Vvoc,nan,nan
47,2023-01-01 22:31:02+00:00,2023-01-01,America's attempt to build electric vehicles and batteries has fallen flat https://t.co/AtTB3LQRyj,nan,nan
48,2023-01-01 23:48:20+00:00,2023-01-01,"Just asking(seriously), where do you think the US would be in the development of electric vehicles without @elonmusk ?",nan,nan
49,2023-01-01 22:59:43+00:00,2023-01-01,"Government didn't ban horses and carriages.

When cars got better, the free market facilitated the transition.

The same will happen with electric vehicles.

Why are the left so desperate to force us to pay more for worse products now?

People will switch naturally in the future.",nan,nan
50,2023-01-01 19:55:12+00:00,2023-01-01,Hidden cost inside all electric vehicles revealed https://t.co/4P8rndoqxu,nan,nan
51,2023-01-01 09:25:36+00:00,2023-01-01,"Maybe all electric vehicles shouldn't be the future?
https://t.co/OQQoPOScIl",nan,nan
52,2023-01-01 12:08:14+00:00,2023-01-01,“A Back-of-the-Head Strike”: US Protectionism of Electric Vehicles Draws Ire https://t.co/LhuN2aDEvh #TBRbot,nan,nan
53,2023-01-01 02:17:49+00:00,2023-01-01,This is why elon musk is not our friend . His electric vehicles will destroy us . He is following the governments plans,nan,nan
54,2023-01-01 18:02:07+00:00,2023-01-01,"Is Canada ready for electric vehicles? #cdnpoli
https://t.co/l4mytgH9ev",nan,nan
55,2023-01-01 16:37:17+00:00,2023-01-01,"Tax credit confusion could create a rush for electric vehicles in early 2023 see Fisker $FSR 32% of Float Shorted Impossible as Ryan Cohen, CEO/COB of Game Stop $GME and Congress Roaring Kitty https://t.co/ejr5SBzepS via @KSLcom",nan,nan
56,2023-01-01 22:18:09+00:00,2023-01-01,The Massachusetts Department of Transportation is assembling a “high performance unit” that will kickstart the state’s efforts to design and install additional charging stations for electric vehicles. https://t.co/bQRsDWr3Hy,nan,nan
57,2023-01-01 16:46:05+00:00,2023-01-01,The cost of Electric vehicles combined with the lack of charging points etc is simply a scheme to make owning a car / driving unachievable for the average working person.,nan,nan
58,2023-01-01 23:40:07+00:00,2023-01-01,"- No Internet Censorship Bill C11 
- No Gun Grab Bill C21 
- No increase in Taxes including Tripling the Carbon Tax 
- No more Mandates including Electric Vehicles and Lockdowns 
- Hire back the Unvacinated including Doctors and Nurses 
Stop punishing innocent and Canadians!",nan,nan
59,2023-01-02 15:53:42+00:00,2023-01-02,"Government Plans To Produce 175,000 Electric Bikes In Pakistan.
To reduce the usage of expensive fuel and protect the country environment,the Ministry of Industries and Production is planning to focus more on electric vehicles, especially electric bikesin Pakistan.+++++ https://t.co/yAu33M6IRE",nan,nan
60,2023-01-02 11:37:32+00:00,2023-01-02,"Congratulations to Delhi.

CM @ArvindKejriwal inducts 50 New Electric Buses in DTC's fleet today. Electric vehicles are the future of transport in Delhi.

Big leap towards #CleanDelhi https://t.co/Hl1qxmWQCj",nan,nan
61,2023-01-02 18:01:47+00:00,2023-01-02,"… Electric vehicles lose 40% of their power at -20C.
… Therefore, electric vehicles are a non-starter in Canada.
… End of discussion. https://t.co/RTFD1lRyp3",nan,nan
62,2023-01-02 19:45:45+00:00,2023-01-02,I love my electric vehicles ⚡️🥰 https://t.co/gEFzPru5Z6,nan,nan
63,2023-01-02 14:50:25+00:00,2023-01-02,"How different electric vehicles perform in cold weather, according to one analysis https://t.co/sI5PopCfsk https://t.co/XDVp6q6YNV",nan,nan
64,2023-01-02 15:30:00+00:00,2023-01-02,"Watch a #free certified crash course on Electric Vehicles: 

Learn about the Battery Management System and other complex constituents of an #Electricvehicle battery by watching our free EV #CrashCourse and get a #certificate from Skill-Lync at the end of the course. https://t.co/eAgp8wT6GG",nan,nan
65,2023-01-02 11:48:03+00:00,2023-01-02,Hey 🤡🤡Joey. Can You Imagine 150 Million Electric Vehicles On The Road  🤡🤡 Joey Woke The Joke 🤡🤡 https://t.co/pG2TcMGFQu,nan,nan
66,2023-01-02 21:26:39+00:00,2023-01-02,"Between 1865 &amp; 1873, the US laid 35,000 miles of railroad tracks.  States weren't prepared for such a fundamental shift in the US economy.  The same is true for the impact electric vehicles will have over the next decade, I believe.  What do you think are EVs biggest challenges? https://t.co/9SUExQV6Xh",nan,nan
67,2023-01-02 22:16:35+00:00,2023-01-02,"Aren’t electric vehicles wonderful?
#GreatReset #ClimateScam 
https://t.co/hIuEAo5IlZ https://t.co/F3LOHF9bfH",nan,nan
68,2023-01-02 18:45:16+00:00,2023-01-02,"“Even with big breakthroughs in battery technology, electric vehicles will probably never be a practical solution for things like 18-wheelers.” Bill Gates https://t.co/G0tzCngLs5",nan,nan
69,2023-01-02 20:33:10+00:00,2023-01-02,New tax credits sparking interest in electric vehicles https://t.co/zjMQ1LRSHw https://t.co/fOqbaj4S06,nan,nan
70,2023-01-02 15:52:23+00:00,2023-01-02,FF 91 Futurist Coming To CES In January 2023 - https://t.co/Kwco1j5kkq https://t.co/knjcPaVmqE,nan,nan
71,2023-01-02 19:27:26+00:00,2023-01-02,"Tesla Delivers Record-Setting 405,278 Cars In Q4 2022, 1.3 Million In All Of 2022 https://t.co/Ama2XlUxWP https://t.co/BKW5hw6ant",nan,nan
72,2023-01-02 18:00:57+00:00,2023-01-02,"Happy New Year! 🎉  We asked #ChatGPT to write us a poem. How will electric vehicles help stop climate change in 2023? 

How did artificial intelligence do? 

#climatechange #electricvehicles #artificialintelligence https://t.co/DYKj1errBJ",nan,nan
73,2023-01-02 17:17:47+00:00,2023-01-02,Excellent thread on how useless electric vehicles are.,nan,nan
74,2023-01-02 19:57:28+00:00,2023-01-02,New cars charging into Australia’s electric vehicle market in 2023 | Electric vehicles | The Guardian https://t.co/yjDpKg1MD8,nan,nan
75,2023-01-02 17:20:06+00:00,2023-01-02,Electric vehicles are complicating car safety testing https://t.co/ZBmX4FVgJ5,nan,nan
76,2023-01-02 17:02:33+00:00,2023-01-02,"As the snow fell, look what was happening to all the electric vehicles. https://t.co/SZTdZGEbOV",nan,nan
77,2023-01-02 23:00:30+00:00,2023-01-02,"TUESDAY: We'll hear the latest news about electric vehicles and how to operate them. If you're thinking of buying one, what questions do you have? If you already have one, what do you want other people to know about EVs? 1-800-565-1940 https://t.co/RSsRaqbjUL",nan,nan
78,2023-01-02 15:12:49+00:00,2023-01-02,"Inflation Reduction Act will offer tax credits of $7,500 or $40,000 for electric delivery vehicle - https://t.co/qMDUQzUbgO https://t.co/7zomZrQ62f",nan,nan
79,2023-01-02 14:07:23+00:00,2023-01-02,"Hertz Increased Its Fleet of Electric Rental Cars—Then, Its Profits Exploded

The rental company's strategic priorities include electrification—a key contributor is Hertz' discovery that EVs are between 50-60% cheaper to maintain than gasoline-powered cars
https://t.co/UqSkxc8GpZ",nan,nan
80,2023-01-02 19:12:44+00:00,2023-01-02,"Emissions down, profits up.
""Hertz discovered that electric vehicles are between 50-60% cheaper to maintain than gasoline-powered cars""
https://t.co/kYTbfmJIzT",nan,nan
81,2023-01-02 23:42:22+00:00,2023-01-02,Exclusive: Tesla’s head of China takes over sales in North America https://t.co/100uLKOtL8 https://t.co/hORYnCHn6i,nan,nan
82,2023-01-02 18:42:21+00:00,2023-01-02,"Tesla announces a new ‘Investor Day’, will discuss new vehicle platform https://t.co/lkfmAigprR https://t.co/xi0KKpRBHh",nan,nan
83,2023-01-02 17:46:56+00:00,2023-01-02,"Not 100% true. But he almost nailed it about Electric Vehicles. 
https://t.co/UGmbj6B6ul",nan,nan
84,2023-01-02 17:23:41+00:00,2023-01-02,"Electric vehicles are complicating car safety testing 

Vice President Raul Arbelaez of the Insurance Institute for Highway Safety's Vehicle Research Center said that electric vehicles’ batteries are “pushing vehicle mass higher.”https://t.co/54TGEkEebc",nan,nan
85,2023-01-02 13:18:55+00:00,2023-01-02,"Countries that are freezing for 6 months out of the year switching to all electric vehicles is like a suicide pact.   

I got lost driving to a rig outside Edmonton.  Canada is big and cold.",nan,nan
86,2023-01-02 13:10:04+00:00,2023-01-02,dSPACE at CES 2023: Innovative Simulation and Validation Solutions for Self-Driving and Electric Vehicles https://t.co/DxVgG5jBA6 https://t.co/gHRMhHmqBi,nan,nan
87,2023-01-02 16:20:59+00:00,2023-01-02,"'Hertz discovered that EVs are between 50-60% cheaper to maintain than gasoline-powered cars.' h/t @reillybrennan 

https://t.co/U1CI3WCPWJ",nan,nan
88,2023-01-02 18:57:58+00:00,2023-01-02,"Electric vehicles just got several thousand dollars cheaper for the average consumer thanks to a federal tax credit that kicked in on New Year’s Day. 

Here's what you need to know: https://t.co/4XxWLKatdU",nan,nan
89,2023-01-02 21:55:15+00:00,2023-01-02,"Thanks to investments from the Bipartisan Infrastructure Law and the Inflation Reduction Act, the domestic manufacturing of electric vehicles is booming.

This will not only help us reach our climate goals but will also create thousands of new jobs in the United States.",nan,nan
90,2023-01-02 17:03:30+00:00,2023-01-02,FUREY: Is Canada ready for electric vehicles? https://t.co/KcxIPxHVJX via @truenorthcentre,nan,nan
91,2023-01-02 20:02:47+00:00,2023-01-02,We live in a truly insane time that the current plan is to just turn all pickup trucks &amp; SUVs into electric vehicles rather than eliminate them,nan,nan
92,2023-01-02 23:32:30+00:00,2023-01-02,"Tesla said Monday it had delivered 1.31 million electric vehicles in 2022 -- a record for the US automaker and a 40 percent jump from a year before, but still short of its own and Wall Street's expectations.

https://t.co/DGE9uB3EaK https://t.co/n3EoMns11X",nan,nan
93,2023-01-02 18:17:56+00:00,2023-01-02,JUST IN: Tesla $TSLA has now delivered 3.65 million electric vehicles to date.,nan,nan
94,2023-01-02 15:59:02+00:00,2023-01-02,Rheinmetall announced substantial order in electromobility domain worth over a quarter billion euros - https://t.co/xY9zfDT2Qn https://t.co/kcKgLtCLod,nan,nan
95,2023-01-02 19:00:57+00:00,2023-01-02,Check out Peter Oliver and Sam Chaysavang discussing the industry turn into Electric Vehicles and the state of the 2023 market! #SwitchVehicles #EVTechnology #STEM #ElectricVehicles https://t.co/WdJaHebagg,nan,nan
96,2023-01-02 20:42:21+00:00,2023-01-02,Tesla Semi battery pack design leaks https://t.co/e1l5Q47QR6 https://t.co/LYZfuFk6hy,nan,nan
97,2023-01-02 15:45:04+00:00,2023-01-02,"Electric vehicles just got several thousand dollars cheaper, due to a federal tax credit that kicked in on New Year's Day – and that's just part of the Biden admin's electric plans. 

@AustinEV  president @aaronchoate shares what it could mean for Texans: https://t.co/EvS46Rr6U9",nan,nan
98,2023-01-02 13:35:55+00:00,2023-01-02,"The US Government Just Screwed Tesla

Excellent breakdown of how the “Inflation Reduction Act” EV Tax Incentive is completely broken

This EV tax credit was supposed to incentivise automakers to make sustainable 🇺🇸 electric vehicles—not subsidise inefficient hybrid ICE vehicles… https://t.co/gtcoWEZAKR",nan,nan
99,2023-01-02 14:30:00+00:00,2023-01-02,"While electric vehicles and hybrid cars may be the way forward, we Indians love our SUVs. And car manufacturers have enticed SUV fanatics by introducing over 10 new SUVs across different segments. Here, we look at the top five SUVs that made headlines in 2022.
#CWSnippet https://t.co/ICuqtaAENt",nan,nan
100,2023-01-02 19:04:01+00:00,2023-01-02,"If you wish to specialize in hybrid and electric vehicles, you may be wondering what the future of electrification looks like, what challenges stand in the way, and how Canada is facing them. Read our blog to understand what to expect:
https://t.co/74VjXNoTVB https://t.co/oM3fg88JM2",nan,nan
101,2023-01-02 17:42:17+00:00,2023-01-02,"Tesla announces record 405,000 vehicles delivered in Q4 2022 https://t.co/iOqIaQYRnX https://t.co/Lpkg6K8dyD",nan,nan
102,,,,nan,nan
103,2023-01-02 11:01:44+00:00,2023-01-02,FUREY: Is Canada ready for electric vehicles? https://t.co/oYgPtWGbua via @truenorthcentre,nan,nan
104,2023-01-02 05:34:53+00:00,2023-01-02,"#HYST?
The third-largest #renewableenergy capacity in the world is in India. However, the country's demand for #power will increase as more electric vehicles are adopted, industry proceeds quickly, and the residential sector is developed.
More: https://t.co/5FwkZvTe3t https://t.co/5ncKTlaU2W",nan,nan
105,2023-01-02 18:27:19+00:00,2023-01-02,"Tesla Starts 2023 With Multiple ""New Year"" Incentives In China https://t.co/UvH1lIYlwj https://t.co/VaRZ5tEcn3",nan,nan
106,2023-01-02 23:42:20+00:00,2023-01-02,"Here’s how Nio, Xpeng, and Li Auto EV deliveries compared in 2022 https://t.co/JfV1TSh6ln https://t.co/bElb6wKThy",nan,nan
107,2023-01-02 17:14:52+00:00,2023-01-02,"Look at what our government did with Covid. Then ask yourself what they will do with all electric vehicles with shut off switches, Digital ID, and  Digital currency. We are following in the footsteps of COMMUNIST COUNTRIES. Instead of being a beacon of freedom and democracy.",nan,nan
108,2023-01-02 19:27:16+00:00,2023-01-02,E-Bike Company Heybike Unveils The Tyson Folding Electric Bicycle https://t.co/W6g4ziC4xA https://t.co/JOeyCwozWD,nan,nan
109,2023-01-02 20:27:19+00:00,2023-01-02,Five-Seat Tesla Model Y Does Not Qualify For New Federal Tax Credit https://t.co/ZORNssR7FP https://t.co/KVD0CxT2K9,nan,nan
110,2023-01-02 19:27:20+00:00,2023-01-02,"US Tax Credit Supports Gassers Over Tesla Model Y, Ford Mustang Mach-E https://t.co/F8xSyJMlYH https://t.co/IAw9mR0PlH",nan,nan
111,2023-01-02 17:42:08+00:00,2023-01-02,Tesla $TSLA has now delivered a total of 3.65 Million electric vehicles in its history,nan,nan
112,2023-01-02 18:42:23+00:00,2023-01-02,This is the Norway – nation hits record EV share in 2022 on its way to ending gas car sales https://t.co/0mA2cFdKi9 https://t.co/Vj9v9j4A42,nan,nan
113,2023-01-02 23:27:23+00:00,2023-01-02,"I'm glad as we need more electric vehicles instead of gas. I, however, would never buy a Tesla now. There are more adorable EVs now available.

Tesla says it sold a record 1.3 million vehicles last year

https://t.co/ujPcUzaGRU",nan,nan
114,2023-01-02 22:53:18+00:00,2023-01-02,"Tesla said Monday it had delivered 1.31 million electric vehicles in 2022 -- a record for the US automaker and a 40 percent jump from a year before, but still short of its own and Wall Street's expectations. https://t.co/mtX6WvSKiO",nan,nan
115,2023-01-02 18:18:00+00:00,2023-01-02,"This 'tech' was revealed in 2015. Mass production was scheduled for *checks notes* 2016.

""Electric vehicles with flow-electrolyte power supply require their own infrastructure for refuelling and draining the electrolyte, which does not yet exist""

Nice looking car, though.",nan,nan
116,2023-01-02 16:25:42+00:00,2023-01-02,"Coercion and central planning go hand and hand, but, as the dismal history of central planning shows, coercion does not guarantee success. | @AStuttaford

 https://t.co/4lMCkUJcn6",nan,nan
117,2023-01-02 20:34:37+00:00,2023-01-02,"#Tesla, the world’s leading maker of electric vehicles, reported a record volume of deliveries in the final quarter of 2022, though it was less than analysts had expected.

#Forbes  

https://t.co/XBnrBcIp0x",nan,nan
118,2023-01-02 13:10:21+00:00,2023-01-02,"50 Electric Buses launched in Delhi, with the support of Central Governments #FAME India Phase -2 scheme. 

Faster Adoption and Manufacturing of Hybrid and Electric Vehicles (FAME) scheme was formulated to improve infrastructure required for large-scale use of #ElectricVehicles. https://t.co/k36qPRzQPa",nan,nan
119,2023-01-02 17:27:40+00:00,2023-01-02,GM Opens Canadian EV plant for BrightDrop Zevo electric delivery vans https://t.co/k0avMbwnbd https://t.co/i2NCjFRyRf,nan,nan
120,2023-01-02 17:27:26+00:00,2023-01-02,"Tesla May Reveal $25,000 EV In 2024 https://t.co/fT3r8e7nZU https://t.co/NZZFdrhXxO",nan,nan
121,2023-01-02 14:53:35+00:00,2023-01-02,"Sodium-Ion Batteries of Na-ion / Na-Ion

Post lithium rechargeable battery revolution

Solid-state batteries &amp; metal air batteries

Electric vehicles of all kinds benefit from faster charging, high heat proof batteries, cheaper batteries, better energy density batteries ^^",nan,nan
122,2023-01-02 14:15:01+00:00,2023-01-02,"Our dealerships are closed today but we're back tomorrow for all your #electricvehicle needs. Meanwhile, you can always find us online at https://t.co/wHJtDGY5GW

The All EV Store. Electric vehicles, advice and expertise. Call us first.© https://t.co/F9fOTxeZeC",nan,nan
123,2023-01-02 17:27:30+00:00,2023-01-02,Tesla's 2022: A Brief Look Back On The Brand's Year As A Whole https://t.co/tDTYMHcRgF https://t.co/tqU93whWT4,nan,nan
124,2023-01-02 17:27:33+00:00,2023-01-02,"Production-Intent Aptera Delta Revealed, More To Come On Jan. 20 https://t.co/NpEIT5aUWh https://t.co/Kwc0YZV7UL",nan,nan
125,2023-01-02 17:27:44+00:00,2023-01-02,Lion Electric produces its first proprietary battery pack https://t.co/DcVqFb1b3h https://t.co/HaN13EBU4C,nan,nan
126,2023-01-02 17:27:22+00:00,2023-01-02,Autocar Drives 751 HP Maserati GranTurismo Folgore EV Prototype On Track https://t.co/X80kRBU8iM https://t.co/Us9tCXh2Mz,nan,nan
127,2023-01-02 17:27:37+00:00,2023-01-02,Vulcan to use new lithium extraction sorbent at brine resource in Germany https://t.co/QPmLdIlu0f https://t.co/Gd4HxgWN80,nan,nan
128,2023-01-02 04:29:59+00:00,2023-01-02,"The reality of electric vehicles...

https://t.co/l3vtqCSReE",nan,nan
129,2023-01-02 18:44:57+00:00,2023-01-02,"""It's about giving people choice in how they move. If we're giving people an incentive to choose electric vehicles, and not necessarily an electric bicycle, we're locking our transportation system into the way it has been, which is really car-dominated.""",nan,nan
130,2023-01-02 22:24:25+00:00,2023-01-02,"Top story: New cars charging into Australia’s electric vehicle market in 2023 | Electric vehicles | The Guardian https://t.co/VG9Y8blFqU, see more https://t.co/TskIdU4UPs",nan,nan
131,2023-01-02 19:01:41+00:00,2023-01-02,"Washington, we have a problem.
How did electric vehicles handle America's Arctic blast? https://t.co/pMgQZSdO45",nan,nan
132,2023-01-02 21:00:00+00:00,2023-01-02,Video: Fact vs Fiction - Electric Vehicles 🚗⚡ https://t.co/Hm9ZaD8Qm4,nan,nan
133,2023-01-02 20:38:51+00:00,2023-01-02,Itching to buy an EV? Chinese manufacturing may make affordable electric vehicles a reality https://t.co/BcQ7mAYBkA via @ABCaustralia,nan,nan
134,2023-01-02 14:15:25+00:00,2023-01-02,Consumers will demand Electric vehicles going forward! @Tesla,nan,nan
135,2023-01-02 17:47:48+00:00,2023-01-02,"#NIO March 25, 2022
In fact, China is pushing hard for swappable batteries for electric vehicles (EVs) as a supplement to regular vehicle charging🥂
Inside China's electric drive for swappable car batteries https://t.co/DMp57INuYT",nan,nan
