,Tweet_Content,Labels,Cleaned_Tweets,Sentiment
57,"Safety, efficiency, and zero tailpipe emissions—electric vehicles have it all. 🚗⚡️ #EVs #DriveINDI #ElectricVehicle #tuesdaymotivations #YouDoYou https://t.co/oYBeWzF5oP",POSITIVE,safety efficiency and zero tailpipe emissionselectric vehicles have it all evs driveindi electricvehicle tuesdaymotivations youdoyou,2
58,"Rivian has now produced just over 1,000 electric vehicles https://t.co/AIr5AJ6WMh https://t.co/mzahC63VyP",POSITIVE,rivian has now produced just over 1000 electric vehicles,2
59,GM’s placing a $27 billion bet on electric vehicles. It begins with the Hummer https://t.co/fTyfyE3Axb,POSITIVE,gms placing a 27 billion bet on electric vehicles it begins with the hummer,2
60,"#ElectricVehicles ARE A BAD INVESTMENT.
Imagine if half the cars in the traffic jam on I-95 in Virginia last night were electric vehicles. And half of those were to run out of battery power. All those people would be stuck in freezing temperatures without a heated vehicle. https://t.co/KujIiRy0Ne",NEGATIVE,electricvehicles are a bad investment imagine if half the cars in the traffic jam on i95 in virginia last night were electric vehicles and half of those were to run out of battery power all those people would be stuck in freezing temperatures without a heated vehicle,0
61,"Electric vehicle gets towed to charging station because it ran out of juice during live @FoxNews broadcast.

Segment was discussing how Democrats are trying to convince you rubes to buy electric vehicles. https://t.co/0h3NXF40sB",NEGATIVE,electric vehicle gets towed to charging station because it ran out of juice during live broadcast segment was discussing how democrats are trying to convince you rubes to buy electric vehicles,0
62,"CEO Elon Musk officially confirmed he is moving his company's headquarters to Austin, Texas but state laws protecting car dealerships still prohibit Texans from buying the electric vehicles locally.

New from me: 
https://t.co/D9BK9uut96",NEGATIVE,ceo elon musk officially confirmed he is moving his companys headquarters to austin texas but state laws protecting car dealerships still prohibit texans from buying the electric vehicles locally new from me,0
63,"2021 was a breakthrough year for Tesla. There should no longer be doubt about the viability and profitability of electric vehicles. With our deliveries up 87% in 2021, we achieved the highest quarterly operating margin among all volume OEMs, based on the latest available data(2)",POSITIVE,2021 was a breakthrough year for tesla there should no longer be doubt about the viability and profitability of electric vehicles with our deliveries up 87 in 2021 we achieved the highest quarterly operating margin among all volume oems based on the latest available data2,2
64,"What good electric vehicle policies can do👇

Electric vehicles passenger in South Africa
1. BMW i3
2. BMW iX
3. Mini Cooper SE
4. Jaguar I-Pace
5. Porsche Taycan, 
6. Porsche Taycan Cross Turismo, 
7. Volvo XC40 Recharge

EVs in Kenya 
1. 8year old Nissan Leafs
2. Help us add https://t.co/ixbZrRzJuX",POSITIVE,what good electric vehicle policies can do electric vehicles passenger in south africa 1 bmw i3 2 bmw ix 3 mini cooper se 4 jaguar ipace 5 porsche taycan 6 porsche taycan cross turismo 7 volvo xc40 recharge evs in kenya 1 8year old nissan leafs 2 help us add,2
65,The Expensive And Harmful Truth About Electric Vehicles https://t.co/z9QQB7kTns,NEGATIVE,the expensive and harmful truth about electric vehicles,0
66,"Join Amit Chopra for our Innovation Talk: Electric Vehicles and the changing face of the electrical network. Follow the link to register for this and future webinars. #SchneiderElectric #Lifeison 
https://t.co/NKcW4AjrwM https://t.co/sUc9CFXY6k",POSITIVE,join amit chopra for our innovation talk electric vehicles and the changing face of the electrical network follow the link to register for this and future webinars schneiderelectric lifeison,2
67,"If all goes according to plan, this company hopes to make 10 million electric vehicles annually — 15% of the world’s e-scooters — by the summer of 2022 https://t.co/YhSwhUwyP6 via @business",POSITIVE,if all goes according to plan this company hopes to make 10 million electric vehicles annually 15 of the worlds escooters by the summer of 2022 via,2
68,"Another move towards a cleaner, electric future! 

General Motors has pledged to stop making gas powered vehicles by 2035, marking a historic turning point for the iconic American carmaker and promising a future of new electric vehicles.

https://t.co/yJcNCM6jux https://t.co/ZgMWgz54wx",POSITIVE,another move towards a cleaner electric future general motors has pledged to stop making gas powered vehicles by 2035 marking a historic turning point for the iconic american carmaker and promising a future of new electric vehicles,2
69,Lack of vehicles and infrastructure hampers efforts to transition federal fleet to electric vehicles https://t.co/kIyu4KLrzx,NEGATIVE,lack of vehicles and infrastructure hampers efforts to transition federal fleet to electric vehicles,0
70,"Union minister #NitinGadkari on Friday said he has asked US-based #Tesla several times to manufacture its iconic electric vehicles in India while assuring that all support will be provided by the government to the company.

https://t.co/bHXzqG6duk",POSITIVE,union minister nitingadkari on friday said he has asked usbased tesla several times to manufacture its iconic electric vehicles in india while assuring that all support will be provided by the government to the company,2
71,"$LTHM...$3.95 was the bottom thus far... Depending on how you see this market from here you might like this one... Big part of electric vehicles

@PeterLBrandt  @SJosephBurns @MrAaronKlein 
 @kunal00  @Rayner_Teo @Schuldensuehner @jsblokland  @TheStalwart @Ralph_Acampora https://t.co/7UsukfewyE",POSITIVE,lthm395 was the bottom thus far depending on how you see this market from here you might like this one big part of electric vehicles,2
72,Give the people want they want! Electric Vehicles!,POSITIVE,give the people want they want electric vehicles,2
73,"Gasoline vehicles are responsible for $37 Billion in health and climate costs each year. 🌳If electric vehicles represent 65% of all vehicles in only 10 states by 2050, those costs would drop by $21 Billion. https://t.co/u2y5FjjZ6w",POSITIVE,gasoline vehicles are responsible for 37 billion in health and climate costs each year if electric vehicles represent 65 of all vehicles in only 10 states by 2050 those costs would drop by 21 billion,2
74,"Tesla CEO Elon Musk has given employees of his electric vehicle company a choice: return to in-person work for 40 hours per week or resign.

https://t.co/BmFMXejfJO",NEGATIVE,tesla ceo elon musk has given employees of his electric vehicle company a choice return to inperson work for 40 hours per week or resign,0
75,"Amazing stuff when the private sector leads transitions. 

Car &amp; General shifts gears into electric vehicles business

https://t.co/CyWHeu5prx via @BD_Africa",POSITIVE,amazing stuff when the private sector leads transitions car amp general shifts gears into electric vehicles business via,2
76,Electric Vehicles Don’t Save Money by Eric Peters https://t.co/tm7DR5T9Q8,NEGATIVE,electric vehicles dont save money by eric peters,0
77,#TataMotors is readying multiple futuristic electric vehicles for the Indian market and one of them is the Avinya EV which will launch a couple of years later https://t.co/XH3eB5WuJl,POSITIVE,tatamotors is readying multiple futuristic electric vehicles for the indian market and one of them is the avinya ev which will launch a couple of years later,2
78,"Good news for electric vehicles plying in and around MBRHC!

The Guwahati Metropolitan Development Authority has installed an electric vehicle charging booth at the parking area of MBRHC.

@aweassam 
@Mbrhcguwahati 
@HilalyKausar 

#electricvehicles #Guwahati https://t.co/fenGE9FghK",POSITIVE,good news for electric vehicles plying in and around mbrhc the guwahati metropolitan development authority has installed an electric vehicle charging booth at the parking area of mbrhc electricvehicles guwahati,2
79,"Biden's 'infrastructure' bill spends more on electric vehicles than highways, bridges, and roads https://t.co/vr1xwUmnJd",POSITIVE,bidens infrastructure bill spends more on electric vehicles than highways bridges and roads,2
80,“stupid twat who doesn’t want to be yelled at for dumping millions of tons of carbon into the atmosphere for your space joyride pissing contest with the other richest guy on earth bc you paid to call yourself “founder” of an electric vehicle company that makes death traps” moment,NEGATIVE,stupid twat who doesnt want to be yelled at for dumping millions of tons of carbon into the atmosphere for your space joyride pissing contest with the other richest guy on earth bc you paid to call yourself founder of an electric vehicle company that makes death traps moment,0
81,The push for electric vehicles and the use of child labor. https://t.co/tcxzLiqFXJ,NEUTRAL,the push for electric vehicles and the use of childlabor,1
82,"Electric vehicles are unlike normal vehicles in that they have special shipping requirements....READ More #costtoshipacar #electricvehiclessensitivebatteries #evcarshipping #insurancecoverage #shipcartohawaii #shipelectricvehiclessafely

https://t.co/Jg570iKvij https://t.co/7hxBC44Xp0",NEUTRAL,electric vehicles are unlike normal vehicles in that they have special shipping requirementsread more costtoshipacar electricvehiclessensitivebatteries evcarshipping insurancecoverage shipcartohawaii shipelectricvehiclessafely,1
83,"WATCH: BMW set out sweeping plans to produce electric vehicles, including a 5-Series sedan, and said management pay would be tied to its meeting climate targets. Read more https://t.co/IvX1YWejdN https://t.co/TMydVhbmes",POSITIVE,watch bmw set out sweeping plans to produce electric vehicles including a 5series sedan and said management pay would be tied to its meeting climate targets read more,2
84,"REVIEW: Opel Corsa-e

The arrival of the Opel Corsa-e adds another model to the list of highly relevant and appealing electric vehicles.

Find out more in our review: https://t.co/y1fkxQ9r2b https://t.co/iYC4EoozVc",POSITIVE,review opel corsae the arrival of the opel corsae adds another model to the list of highly relevant and appealing electric vehicles find out more in our review,2
85,"this stuff is good. ideally, we want to reduce the amount of cars and trucks on the road in urban areas and increase public transit. But this doesn’t happen overnight- electric vehicles are an important stepping stone to a sustainable future.",POSITIVE,this stuff is good ideally we want to reduce the amount of cars and trucks on the road in urban areas and increase public transit but this doesnt happen overnight electric vehicles are an important stepping stone to a sustainable future,2
86,"— The entire world becoming dependent on China for electric vehicles, from supply chains to finished EVs.

We’ve been dependent on mobile phones and didn’t do anything to adapt to EVs on time.

Hopefully is not too late for Western automakers to become the Nokias of EVs.",NEGATIVE,the entire world becoming dependent on china for electric vehicles from supply chains to finished evs weve been dependent on mobile phones and didnt do anything to adapt to evs on time hopefully is not too late for western automakers to become the nokias of evs,0
87,Companies all over the globe have been taking steps to reduce their carbon footprints. One major way to do that is to using more electric vehicles as they are significantly cleaner than gas-powered vehicles. Learn more below: https://t.co/mwr1mKKYIo,POSITIVE,companies all over the globe have been taking steps to reduce their carbon footprints one major way to do that is to using more electric vehicles as they are significantly cleaner than gaspowered vehicles learn more below,2
88,Idk why they make every new electric vehicle so damn ugly lol,NEGATIVE,idk why they make every new electric vehicle so damn ugly lol,0
89,"I am not transitioning 
Not to a man
Not to electric vehicle
And definitely not to
A socialist America",NEGATIVE,i am not transitioning not to a man not to electric vehicle and definitely not to a socialist america,0
90,"The number of electric vehicles on the road just keeps growing - is it time for you to make the switch? We're here to help. 

Visit https://t.co/T8ytV0CZmu for an up-to-date list of our inventory. https://t.co/E4zCOlqYns",POSITIVE,the number of electric vehicles on the road just keeps growing is it time for you to make the switch were here to help visit for an uptodate list of our inventory,2
91,"EVs for the win! Electric vehicles though cost more upfront currently , which I think won't be the case in a few years , more than make up with low running cost and service cost .@TeslaClubIN

https://t.co/OExkP6dH0T",POSITIVE,evs for the win electric vehicles though cost more upfront currently which i think wont be the case in a few years more than make up with low running cost and service cost,2
92,"A field of 10K electric vehicles in China. 

https://t.co/aVU8ldaZWr",NEUTRAL,a field of 10k electric vehicles in china,1
93,"Thank you, @POTUS for getting US supercharging EV industry as this is future!! It doesn’t matter how much @GOP fights for Big Oil, our Climate depends on everyone going to Electric Vehicles!!",POSITIVE,thank you for getting us supercharging ev industry as this is future it doesnt matter how much fights for big oil our climate depends on everyone going to electric vehicles,2
94,"Biden praises GM and Ford for their electric vehicles but ignores Tesla.  Hmm,  I wonder why ? What a clown !",POSITIVE,biden praises gm and ford for their electric vehicles but ignores tesla hmm i wonder why what a clown,2
