,Date,Tweet_Content,Manual_Training_Labels
76,2023-06-01,Einride and UAE Ministry of Energy and Infrastructure Join Forces to Introduce Autonomous Electric Freight Mobility in the Middle East - https://t.co/XUALCjBLCh https://t.co/JU5pZWcxkh,NEUTRAL
77,2023-06-12,"Discussion on Proposed EPA Regulations for Electric Vehicles, @Heritage hosts – LIVE on C-SPAN https://t.co/H0fvNpDLVb",NEUTRAL
78,2023-06-14,"Kees Jansen, Director of EV Service  Delivery, informs our journalists BC Hydro is helping the province get prepared for the adoption of electric vehicles (EVs) through education, rebates, infrastructure, and electrical grid readiness. #bchydro #ajacecorun #L’Ecorandonnée #evs https://t.co/67zcmzjbFz",POSITIVE
79,2023-06-16,"Uh Oh, Electric Vehicles Are More Dangerous Than Conventional Vehicles
Electric cars are so heavy that a gasoline car doesn’t have a chance against it in a car crash, making electric cars a safety hazard. Batteries are heavy.
https://t.co/K30eknlgW3 https://t.co/B68Qdp6Uze",NEGATIVE
80,2023-06-16,"A field of 10K electric vehicles in China. 

https://t.co/aVU8ldaZWr",NEUTRAL
81,2023-06-16,"Starting next year, owners of electric vehicles made by General Motors and Ford will be able to charge their EVs at many of Tesla’s charging stations, the largest such network in the country.
https://t.co/MtJkO8mEqA",NEUTRAL
82,2023-06-20,"Robert Downey Jr. turns his classic cars into electric vehicles as part of a new documentary series, ‘Downey's Dream Cars’ https://t.co/NGv3ekJb9r",NEUTRAL
83,2023-06-20,"Liz Allan and Jonathan Jenkins - The need for accessible electric vehicles, and wheelchair-accessible vehicles, the importance of accessible ChargePoints and how to drive change with disabled people in mind.

https://t.co/gZF7PTn6WL

#mobility #electricvehiclecharging https://t.co/XuvsV0DID1",NEUTRAL
84,2023-06-21,We're on a mission to reduce our emissions! Proud to be partnering with @haringeycouncil in trialling the latest innovations in electric vehicles. 🚛⚡️,POSITIVE
85,2023-06-27,Excess electricity from SkyTrain and trolley bus could be used to charge electric vehicles 🔋⚡️ https://t.co/1Bd0MvumKZ,NEUTRAL
86,2023-06-28,Volkswagen Shares Recover Slightly as EV Demand Stabilizes and Production Cut Raises Concerns - https://t.co/sogJGn5KZ1 https://t.co/10J8P8GkiI,NEUTRAL
87,2023-06-28,Any ideas how long before battery degradation starts to hit in these electric vehicles?,NEUTRAL
88,2023-06-29,Batteries in electric vehicles have more mileage in city driving rather than highway driving https://t.co/wSrhU61sUS via @ConversationCA,NEUTRAL
89,2023-07-08,"Some of my favorite applications of our electric vehicles - so versatile from
Nursery to coffee shop to mobile shops and also a bhel shop!

@MahindraLMM https://t.co/JUL5XuAKbh",POSITIVE
90,2023-07-15,"VP Kamala Harris: “When we invest in clean energy and electric vehicles and reduce population, more of our children can breath clean air and drink clean water.”

(RNC RESEARCH) https://t.co/ZZELt0P7eu",POSITIVE
91,2023-07-18,"Tip: Stop buying electric vehicles and they stop building them, along with the charging stations to replace fuel and eventually flip the country to ""electric everything"" so they can cut you off with a flip of a switch.",NEGATIVE
92,2023-07-22,"— The entire world becoming dependent on China for electric vehicles, from supply chains to finished EVs.

We’ve been dependent on mobile phones and didn’t do anything to adapt to EVs on time.

Hopefully is not too late for Western automakers to become the Nokias of EVs.",NEUTRAL
93,2023-07-25,"More drivers are interested in electric vehicles, and some are taking one for a spin as a sort of “test drive” while on vacation, thanks to them being readily available as rental cars. Learn more: https://t.co/mxSJIDTdie

#EV #ElectricVehicles @evergypower @Hertz @travelks https://t.co/u12EKQ305k",POSITIVE
94,2023-07-27,"In the UK, the adoption of Electric Vehicles (EVs) has been on the rise, driven by a number of forces. David Kendrick, UHY Manchester CEO, looks into the impact this trend will have on the UK automotive market. https://t.co/8QYryjVEsb https://t.co/jfrIccC1jA",POSITIVE
95,2023-07-30,"“Under the new French law, which is due to be fully adopted by parliament by year-end, however, Chinese-made electric vehicles would probably not qualify for incentives, which are worth between €5,000 and €7,000 per car for new electric vehicles.” https://t.co/mQ3VLTTvis",NEUTRAL
96,2023-08-01,"I wrote the GREEN Act to leverage our tax code to incentivize clean energy. Now, as part of the Inflation Reduction Act, savings are available ⬇

Up to $3,200 for energy efficient appliances
30% for rooftop solar &amp; other clean energy
Up to $7,500 off for electric vehicles",POSITIVE
97,2023-08-02,"The future of #sustainability goes beyond tech enthusiasts and car fanatics, with electric vehicles leading the way. Find out more: https://t.co/IkK76Xk6xs https://t.co/d1dDdBy9M2",POSITIVE
98,2023-08-05,Politicians are worried a push to use electric vehicles from China to achieve net zero could have security implications https://t.co/l6Mh7vPvAv,NEUTRAL
99,2023-08-05,"Experts assure that the conventional fuel-based vehicle market will continue to grow at least for another decade with very few jobs lost. The emerging electric vehicles sector is expected to create new green jobs. Story by @ArathimenonM.  
https://t.co/XzTgf4XsdS",NEUTRAL
100,2021-08-08,"I have two open PhD positions on optimizing the electricity market structure for integrating electric vehicles. 
Please fill in the following form by 15 Sept 2021:
https://t.co/IyHq95QuPt

#apply #open #position #openposition #phd #doctorate #call #free #university #scholarship https://t.co/OgquJYVMeW",NEUTRAL
101,2021-03-08,"If all goes according to plan, this company hopes to make 10 million electric vehicles annually — 15% of the world’s e-scooters — by the summer of 2022 https://t.co/YhSwhUwyP6 via @business",NEUTRAL
102,2021-01-23,"Electric Vehicles (EVs): 

“Big firms dragged their feet on electrification for a reason. Batteries were costly and EVs, niche products for the rich. But prices have fallen, regulations have tightened and buyers want EVs.”

Source: @TheEconomist @business 

Car sales forecast 👇 https://t.co/85zNEuJrds",POSITIVE
103,2021-05-26,"My teacher: “Topics that are off the board, meaning you cannot do them:
- legalization of marijuana
- abortion
- mass shootings
- paying college athletes
- electric vehicles”

Me: “Jets made right decision moving on from Sam Darnold”",NEGATIVE
104,2021-02-25,Electric Vehicles have their drawbacks as this commentary in @realclearpolicy highlights.  https://t.co/w4dGxRA2wX,NEGATIVE
105,2021-04-01,"Biden's 'infrastructure' bill spends more on electric vehicles than highways, bridges, and roads https://t.co/vr1xwUmnJd",NEGATIVE
106,2021-03-04,"It’s time to plug in, stand out and switch to our all-electric vehicle range. 

Will you be going electric?

Find out more here: https://t.co/Laa1pOEEcn

#Vauxhall #VauxhallMokkaE #VauxhallCorsaE #VauxhallVivaroE https://t.co/JNBuFij5m7",POSITIVE
107,2021-06-01,"We had the technology for electric vehicles in the 1900s yet 100 years on it's more expensive to develop it? Why did we ditch years of cleaner, more sustainable modes of transport in order to re-invent it at a substantially greater cost? @scottishgreens @scotgp @MathesonMichael https://t.co/XCd6dfNfes",POSITIVE
108,2021-06-01,#IV Taiwanese electronics manufacturer Foxconn recently announced a partnership with Thailand’s state-run energy group PTT to make electric vehicles in the country. https://t.co/LoSywakAuJ,NEUTRAL
109,2021-06-01,Global Sales of electric vehicles https://t.co/qrpa2AdrwM,NEUTRAL
110,2021-10-08,"Curious about electric vehicles but not sure where to start? 
Maybe you want to learn more about charging or the cost of ownership?
 
Join us LIVE Oct. 28 for a conversation on the ins and outs of EVs! Click below to sign up. 🔌 ⚡  https://t.co/tl6ObCOpYX",NEUTRAL
111,2021-03-28,"⚡ We'd love your thoughts on Electric Vehicles ⚡  

Complete our short survey at the bottom of our EV information page, for a chance to win a £25 Amazon gift card*.

Take the survey now &gt;&gt; https://t.co/tweljYszLQ

*T&amp;Cs apply. One entry per person, per month. https://t.co/OkSRSzM069",NEUTRAL
112,2021-01-01,"If Americans drive their electric cars anywhere near as much as they do with their current gas-guzzlers, it would cancel out the carbon reduction brought on by electrification #citylabarchive https://t.co/WoR4EWKCbV",POSITIVE
113,2021-09-13,"Governments will play a huge part in moving drivers towards #EVs. Many have already set firm dates for banning new sales of ICE vehicles. And #COP26 will put even more pressure on policy makers to accelerate the phase-out 👇 
https://t.co/0uzyMIR8q8 https://t.co/ZJv46CxRMF",NEUTRAL
114,2021-09-13,"Occupants in electric vehicles (EVs) and hybrid models are less likely to be injured in a crash than people in similar gas-powered vehicles, according to a new report. https://t.co/lJ5CtiDt37",POSITIVE
115,2021-10-08,"New research from the Experience Per Mile Advisory Council, guided by Harman and SBD Automotive, looks at the future of electrical vehicles and evolving customer experiences.

The automotive industry is racing towards electric vehicles | ZDNet https://t.co/AsbUs6c4rY https://t.co/g0saMXXNNR",NEUTRAL
116,2021-01-21,Program replaces dirty diesel with electric vehicles #EV #ActOnClimate https://t.co/pt2BurVk0D https://t.co/3sICe7IHoj,POSITIVE
117,2021-06-01,"Did you know that you can integrate electric vehicles with KNX for intelligent charging?

Read more here!

https://t.co/SKNrKXTl8w",POSITIVE
118,2021-01-08,Hyundai shares jump 18% after a report said Apple was in talks with the automaker on developing self-driving electric vehicles https://t.co/LQju5v8Ei3 via @technology,NEUTRAL
119,2021-10-06,"It’s Energy Efficiency Day!⚡

Did you know that electric vehicles are more energy efficient than petrol and diesel cars?🚗 EV’s tend to be between 85-90% efficient, compared to ICE vehicles at 17-21%! 😲

#evcharging #electricvehicles #energyefficiency  #EnergyEfficiencyDay https://t.co/lgumziQYSM",POSITIVE
120,2021-01-19,"https://t.co/DFZFvqIbv9
Solar panels and electric vehicles may be expensive upfront, but investments in these low-carbon technologies could potentially save you money in the long run.",POSITIVE
121,2021-01-06,The development of Electric vehicles is becoming increasingly important industry for thematic investors to consider for the long-term. Join us Friday for a free webinar on the prospects of this industry. Logon to our website and an invitation will be sent to your inbox! https://t.co/nzyt50n2Rp,POSITIVE
122,2021-06-03,"My response to electric vehicles is to make a cell phone that runs on gasoline

#fordlightning #Tesla #f150",NEGATIVE
123,2021-09-08,"Tata Motors lagging on the electric vehicles front: #UdayanMukherjee 
#AskUdayan | @aabhabakaya @business_today https://t.co/9dWZ5RXhXh",NEUTRAL
124,2021-01-23,Electric Vehicles Don’t Save Money by Eric Peters https://t.co/tm7DR5T9Q8,NEGATIVE
125,2021-06-01,"Chinese battery giant CATL’s market value topped 1 trillion yuan ($157 billion) amid surging demand for electric vehicles.
https://t.co/SC56YDatlW",NEUTRAL
126,2021-02-20,"Electric Vehicles and Their Drawbacks, Chapter II | RealClearEnergy https://t.co/9EHGZkIaco",NEGATIVE
127,2021-01-19,"Electric vehicles in @nytimes! A new study from MIT determined that electric vehicles were easily more climate friendly than gas-burning ones and over a lifetime, they were often cheaper. #cleancarsmn #cleanercars
 https://t.co/IpNXZc7MkO",POSITIVE
128,2021-06-01,Are electric vehicles poised to be the next technological revolution? CR's research has shown strong consumer interest in EVs—and @BBCNews explains how it is likely to happen much more quickly than you think. #CleanerCars https://t.co/w7eERHtr1G,NEUTRAL
129,2021-09-13,It's plausible under a carbon tax regime and sufficiently advanced alternative energy sources that electric vehicles become very uncompetitive vs. gasoline or diesel in many applications,NEGATIVE
130,2021-06-03,"Tesla Model 3 &amp; Y Are Among World’s Top 3 Best-Selling Electric Vehicles in April 2021

https://t.co/XFN50Mu2ht",NEUTRAL
131,2021-06-03,"If you’ve got questions about the impact of electric vehicles (EVs) on the #AutomotiveIndustry, you’re not alone. Our scientists and engineers provide well-informed answers to those common questions. Find the answers at https://t.co/MPC9JXopu6 https://t.co/eekR2jtvMU",NEUTRAL
132,2021-01-05,GM’s placing a $27 billion bet on electric vehicles. It begins with the Hummer https://t.co/fTyfyE3Axb,NEUTRAL
133,2021-01-21,"With the Biden admin rejoining the Paris Climate Agreement, we're proud to share all we've accomplished over the last few years: adopting electric vehicles, implementing clean energy solutions, &amp; building more sustainably, just to name a few. Read more: https://t.co/bANTfUcnZV https://t.co/dIklbgGq88",POSITIVE
134,2021-01-09,"Today @NIOGlobal released its first sedan eT7 with an range more than 1000 kms per charge. 

150kw battery, 0-100 Kwh acceleration 3.9 seconds 
Price USD $69000

Serious competition coming in 2022 in New Zealand. https://t.co/j3GdwhRpKq",NEUTRAL
135,2021-06-01,"... the transition to zero emission vehicles over the next decade will see a dramatic change in the skills required ... with apprentices and existing technicians needing the training, experience and infrastructure to service and repair electric vehicles.
https://t.co/QnOPC73Wlx",NEUTRAL
136,2021-10-06,"If you missed our recent Electric Vehicles Conference, check out the highlights by visiting our website! https://t.co/dhlwNrCLPn #ElectricCars #ElectricTrucks https://t.co/R2zGD6X9Ei",NEUTRAL
137,2021-04-14,"The evidence is clear. Electric vehicles are no silver bullet. @CBTransport will be doing all it can not to just call things out that are not working, but seeking practical  solutions to promote change.  The Bus Strategy is a good start...",NEGATIVE
138,2021-10-06,"Fuel shortages create a massive shift towards driving electric cars and hybrids in the UK according to carwow

An impressive 21 percent of all car sales concluded via its website and app during September were for battery electric vehicles (BEVs)👍 https://t.co/6OfGUJkJNb",POSITIVE
139,2021-01-29,"Another move towards a cleaner, electric future! 

General Motors has pledged to stop making gas powered vehicles by 2035, marking a historic turning point for the iconic American carmaker and promising a future of new electric vehicles.

https://t.co/yJcNCM6jux https://t.co/ZgMWgz54wx",POSITIVE
140,2021-10-09,"Did you know that electric vehicles are highly efficient,
converting around 77% of their power into
movement? Gas-powered vehicles only convert 12%–
30%. Check it out!
#BeneficialElectrification #GoElectric

Learn more at https://t.co/dZF1wcwcvi https://t.co/SdvlSJpzOm",POSITIVE
